発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
粉末体の製造方法、粉末体、及び樹脂体,-,特願2024-196454,特開2026-084251,"['河西工業', '長瀬産業']",[],2024.0,['C01F11'],34,"[34] 製造, 貝殻, ドロマイト",15.615194,11.548816,-1,,,,その他,その他,その他
二酸化炭素の回収方法,-,特願2026-033173,特開2026-083244,['神島化学工業'],[],2026.0,"['C01F5', 'C01F11', 'C01D7', 'C01B32']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.293884,18.98828,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),その他,その他,その他
アラゴナイト状炭酸カルシウムの製造方法,-,特願2024-187111,特開2026-076486,"['学校法人日本大学', '住友大阪セメント']",[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.96886,17.483255,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
医療用炭酸カルシウム組成物、および関連医療用組成物、ならびにこれらの製造方法,-,特願2026-026909,特開2026-076376,['石川\u3000邦夫'],[],2026.0,"['C01F11', 'A61L27', 'C01B25']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.917234,17.926037,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
バテライトを形成するための石灰の処理のための方法およびシステム,-,特願2026-005808,特開2026-063216,['アレラク，\u3000インコーポレイテッド'],[],2026.0,"['C04B14', 'C04B2', 'C01F11']",28,"[28] 石灰石, 石灰, 製造",17.28061,10.893034,-1,,,,その他,その他,専用装置・プラントシステムの設計
炭酸塩の製造方法、及び炭酸塩の製造装置,-,特願2025-161086,,"['イーサン', 'レブセル']",[],2025.0,"['C01F11', 'C01B5']",10,"[10] 炭酸塩, 製造, 酸化物",14.921224,8.224527,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
炭酸カルシウム被覆体及びその製造方法,-,特願2024-162438,特開2026-056296,['出光興産'],[],2024.0,"['C01B33', 'C08L101', 'C08K9', 'C08K3', 'C23C26', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.871855,18.824797,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
カルサイト型単分散球状炭酸カルシウム粒子及びその製造方法,-,特願2024-162437,特開2026-056295,['出光興産'],[],2024.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.131525,13.27344,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムの製造方法,-,特願2024-159916,特開2026-054696,['花王'],[],2024.0,"['C04B22', 'C04B28', 'C01F11']",15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.592379,20.366932,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
二酸化炭素の回収方法,-,特願2024-167002,特開2026-059136,['神島化学工業'],[],2024.0,"['C01F5', 'C01D7', 'C01F11', 'C01B32']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.306055,18.976217,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),その他,その他,その他
カルシウムの回収方法およびカルシウム錯体,-,特願2025-126659,特開2026-032542,"['活材ケミカル', '国立大学法人富山大学']",[],2025.0,"['C01F11', 'C07C229', 'C07F3']",31,"[31] 回収, カルシウム, 廃棄物",19.888409,16.313118,-1,,,,その他,その他,その他
